time,srad
2013-03-10 10:30:00,7.3440003
2013-03-11 10:30:00,12.0528
2013-03-12 10:30:00,12.3876
2013-03-13 10:30:00,16.124401
2013-03-14 10:30:00,15.454801
2013-03-15 10:30:00,17.550001
2013-03-16 10:30:00,12.8844
2013-03-17 10:30:00,17.550001
2013-03-18 10:30:00,13.402801
2013-03-19 10:30:00,16.8588
2013-03-20 10:30:00,18.1548
2013-03-21 10:30:00,14.968801
2013-03-22 10:30:00,18.7596
2013-03-23 10:30:00,16.1352
2013-03-24 10:30:00,19.2996
2013-03-25 10:30:00,19.116001
2013-03-26 10:30:00,11.448
2013-03-27 10:30:00,18.846
2013-03-28 10:30:00,18.1224
2013-03-29 10:30:00,18.5976
2013-03-30 10:30:00,20.509201
2013-03-31 10:30:00,23.014801
2013-04-01 10:30:00,21.308401
2013-04-02 10:30:00,10.810801
2013-04-03 10:30:00,17.895601
2013-04-04 10:30:00,17.3016
2013-04-05 10:30:00,12.852
2013-04-06 10:30:00,22.6044
2013-04-07 10:30:00,20.4876
2013-04-08 10:30:00,5.7564
2013-04-09 10:30:00,22.896
2013-04-10 10:30:00,18.684
2013-04-11 10:30:00,18.1548
2013-04-12 10:30:00,16.3404
2013-04-13 10:30:00,21.3516
2013-04-14 10:30:00,23.252401
2013-04-15 10:30:00,23.3172
2013-04-16 10:30:00,24.0732
2013-04-17 10:30:00,19.9908
2013-04-18 10:30:00,19.180801
2013-04-19 10:30:00,21.8484
2013-04-20 10:30:00,15.336
2013-04-21 10:30:00,24.159601
2013-04-22 10:30:00,18.198
2013-04-23 10:30:00,16.8804
2013-04-24 10:30:00,16.1028
2013-04-25 10:30:00,14.094001
2013-04-26 10:30:00,23.598001
2013-04-27 10:30:00,25.0776
2013-04-28 10:30:00,14.958
2013-04-29 10:30:00,3.888
2013-04-30 10:30:00,15.7356
2013-05-01 10:30:00,22.1508
2013-05-02 10:30:00,20.4552
2013-05-03 10:30:00,23.112001
2013-05-04 10:30:00,26.773201
2013-05-05 10:30:00,22.842001
2013-05-06 10:30:00,22.9932
2013-05-07 10:30:00,20.2392
2013-05-08 10:30:00,21.3192
2013-05-09 10:30:00,7.722
2013-05-10 10:30:00,16.7292
2013-05-11 10:30:00,21.2868
2013-05-12 10:30:00,13.2192
2013-05-13 10:30:00,27.7344
2013-05-14 10:30:00,5.7672
2013-05-15 10:30:00,29.0844
2013-05-16 10:30:00,22.2264
2013-05-17 10:30:00,12.8844
2013-05-18 10:30:00,28.5984
2013-05-19 10:30:00,10.1088
2013-05-20 10:30:00,23.3172
2013-05-21 10:30:00,16.6644
2013-05-22 10:30:00,28.198801
2013-05-23 10:30:00,21.8484
2013-05-24 10:30:00,29.9484
2013-05-25 10:30:00,30.1212
2013-05-26 10:30:00,23.360401
2013-05-27 10:30:00,15.087601
2013-05-28 10:30:00,15.174001
2013-05-29 10:30:00,24.5916
2013-05-30 10:30:00,30.8988
2013-05-31 10:30:00,22.356
2013-06-01 10:30:00,26.9676
2013-06-02 10:30:00,17.3448
2013-06-03 10:30:00,4.4604
2013-06-04 10:30:00,28.1124
2013-06-05 10:30:00,24.364801
2013-06-06 10:30:00,13.8996
2013-06-07 10:30:00,18.8568
2013-06-08 10:30:00,17.28
2013-06-09 10:30:00,7.9164004
2013-06-10 10:30:00,20.7792
2013-06-11 10:30:00,18.6192
2013-06-12 10:30:00,21.5352
2013-06-13 10:30:00,22.2912
2013-06-14 10:30:00,22.2696
2013-06-15 10:30:00,29.440802
2013-06-16 10:30:00,22.9176
2013-06-17 10:30:00,30.996
2013-06-18 10:30:00,28.544401
2013-06-19 10:30:00,24.1056
2013-06-20 10:30:00,24.5916
2013-06-21 10:30:00,24.505201
2013-06-22 10:30:00,29.451601
2013-06-23 10:30:00,28.7604
2013-06-24 10:30:00,27.2376
2013-06-25 10:30:00,16.686
2013-06-26 10:30:00,11.1996
2013-06-27 10:30:00,9.7632
2013-06-28 10:30:00,29.926802
2013-06-29 10:30:00,6.75
2013-06-30 10:30:00,9.2232
2013-07-01 10:30:00,23.7492
2013-07-02 10:30:00,7.0416
2013-07-03 10:30:00,11.383201
2013-07-04 10:30:00,12.441601
2013-07-05 10:30:00,29.7432
2013-07-06 10:30:00,24.03
2013-07-07 10:30:00,18.802801
2013-07-08 10:30:00,28.0044
2013-07-09 10:30:00,28.3824
2013-07-10 10:30:00,31.039202
2013-07-11 10:30:00,22.95
2013-07-12 10:30:00,17.7012
2013-07-13 10:30:00,21.4272
2013-07-14 10:30:00,27.9396
2013-07-15 10:30:00,6.9552
2013-07-16 10:30:00,26.211601
2013-07-17 10:30:00,28.4796
2013-07-18 10:30:00,19.3104
2013-07-19 10:30:00,11.782801
2013-07-20 10:30:00,29.4732
2013-07-21 10:30:00,29.484001
2013-07-22 10:30:00,19.548
2013-07-23 10:30:00,22.075201
2013-07-24 10:30:00,22.1832
2013-07-25 10:30:00,27.399601
2013-07-26 10:30:00,23.392801
2013-07-27 10:30:00,13.7052
2013-07-28 10:30:00,28.8036
2013-07-29 10:30:00,21.481201
2013-07-30 10:30:00,27.432001
2013-07-31 10:30:00,12.3876
2013-08-01 10:30:00,11.124001
2013-08-02 10:30:00,13.0788
2013-08-03 10:30:00,11.869201
2013-08-04 10:30:00,25.1532
2013-08-05 10:30:00,23.5116
2013-08-06 10:30:00,17.9388
2013-08-07 10:30:00,26.7084
