time,lrad
2014-11-09 10:30:00,16.470001
2014-11-10 10:30:00,16.2108
2014-11-11 10:30:00,14.428801
2014-11-12 10:30:00,14.515201
2014-11-13 10:30:00,13.9968
2014-11-14 10:30:00,14.2776
2014-11-15 10:30:00,13.6188
2014-11-16 10:30:00,13.834801
2014-11-17 10:30:00,14.2560005
2014-11-18 10:30:00,14.288401
2014-11-19 10:30:00,15.660001
2014-11-20 10:30:00,17.096401
2014-11-21 10:30:00,16.6752
2014-11-22 10:30:00,15.012
2014-11-23 10:30:00,14.04
2014-11-24 10:30:00,13.2408
2014-11-25 10:30:00,15.6168
2014-11-26 10:30:00,20.509201
2014-11-27 10:30:00,14.3856
2014-11-28 10:30:00,13.8996
2014-11-29 10:30:00,15.8976
2014-11-30 10:30:00,16.686
2014-12-01 10:30:00,12.366
2014-12-02 10:30:00,11.502
2014-12-03 10:30:00,17.334
2014-12-04 10:30:00,12.549601
2014-12-05 10:30:00,14.1912
2014-12-06 10:30:00,13.3704
2014-12-07 10:30:00,13.068001
2014-12-08 10:30:00,13.5432005
2014-12-09 10:30:00,19.1268
2014-12-10 10:30:00,17.1072
2014-12-11 10:30:00,15.487201
2014-12-12 10:30:00,12.8736
2014-12-13 10:30:00,12.808801
2014-12-14 10:30:00,13.6188
2014-12-15 10:30:00,13.1652
2014-12-16 10:30:00,12.9168005
2014-12-17 10:30:00,12.7116
2014-12-18 10:30:00,16.1676
2014-12-19 10:30:00,13.6404
2014-12-20 10:30:00,13.1868
2014-12-21 10:30:00,15.444
2014-12-22 10:30:00,16.0812
2014-12-23 10:30:00,14.1912
2014-12-24 10:30:00,16.124401
2014-12-25 10:30:00,14.115601
2014-12-26 10:30:00,13.780801
2014-12-27 10:30:00,14.8932
2014-12-28 10:30:00,14.007601
2014-12-29 10:30:00,14.2992
2014-12-30 10:30:00,17.4312
2014-12-31 10:30:00,14.0724
2015-01-01 10:30:00,15.1092005
2015-01-02 10:30:00,15.260401
2015-01-03 10:30:00,14.428801
2015-01-04 10:30:00,14.5692005
2015-01-05 10:30:00,13.975201
2015-01-06 10:30:00,13.402801
2015-01-07 10:30:00,13.1544
2015-01-08 10:30:00,17.4312
2015-01-09 10:30:00,15.2388
2015-01-10 10:30:00,13.921201
2015-01-11 10:30:00,15.681601
2015-01-12 10:30:00,13.7592
2015-01-13 10:30:00,13.780801
2015-01-14 10:30:00,13.467601
2015-01-15 10:30:00,18.36
2015-01-16 10:30:00,13.316401
2015-01-17 10:30:00,14.0184
2015-01-18 10:30:00,17.5932
2015-01-19 10:30:00,13.1652
2015-01-20 10:30:00,13.2516
2015-01-21 10:30:00,13.575601
2015-01-22 10:30:00,13.77
2015-01-23 10:30:00,14.742001
2015-01-24 10:30:00,13.748401
2015-01-25 10:30:00,16.264801
2015-01-26 10:30:00,12.7008
2015-01-27 10:30:00,12.582001
2015-01-28 10:30:00,13.435201
2015-01-29 10:30:00,12.9168005
2015-01-30 10:30:00,12.744
2015-01-31 10:30:00,14.0724
2015-02-01 10:30:00,14.2236
2015-02-02 10:30:00,16.264801
2015-02-03 10:30:00,15.627601
2015-02-04 10:30:00,14.493601
2015-02-05 10:30:00,15.5844
2015-02-06 10:30:00,15.573601
2015-02-07 10:30:00,12.376801
2015-02-08 10:30:00,13.5
2015-02-09 10:30:00,13.780801
2015-02-10 10:30:00,14.0832
2015-02-11 10:30:00,14.958
2015-02-12 10:30:00,14.342401
2015-02-13 10:30:00,14.1264
2015-02-14 10:30:00,14.3856
2015-02-15 10:30:00,18.684
2015-02-16 10:30:00,17.334
2015-02-17 10:30:00,15.012
2015-02-18 10:30:00,14.655601
2015-02-19 10:30:00,17.8524
2015-02-20 10:30:00,18.630001
2015-02-21 10:30:00,21.3948
2015-02-22 10:30:00,15.346801
2015-02-23 10:30:00,13.662001
2015-02-24 10:30:00,13.262401
2015-02-25 10:30:00,13.975201
2015-02-26 10:30:00,14.9796
2015-02-27 10:30:00,14.3532
2015-02-28 10:30:00,16.4808
2015-03-01 10:30:00,14.860801
2015-03-02 10:30:00,15.0228
2015-03-03 10:30:00,14.428801
2015-03-04 10:30:00,14.601601
2015-03-05 10:30:00,15.5304
2015-03-06 10:30:00,15.5304
2015-03-07 10:30:00,14.601601
2015-03-08 10:30:00,14.0184
2015-03-09 10:30:00,13.8132
2015-03-10 10:30:00,14.5044
