	205	62562	62585	307	-1	-1	1	-1	1
	204	62586	63081	-1	-1	-1	1	-1	1
	203	63082	63607	-1	-1	-1	1	-1	1
	202	63608	64486	-1	-1	-1	1	-1	1
	201	64487	64950	375	-1	-1	1	-1	1
	200	64951	65626	-1	-1	-1	1	-1	1
	199	65627	66108	248	-1	-1	1	-1	1
	198	66109	66523	248	-1	-1	1	-1	1
	197	66524	66598	285	-1	-1	1	-1	1
	196	66599	66928	257	-1	-1	1	-1	1
	195	66929	66964	286	-1	-1	1	-1	1
	194	66965	67303	273	-1	-1	1	-1	1
	193	67304	67569	264	-1	-1	1	-1	1
	192	67570	68258	264	-1	-1	1	-1	1
	191	68259	68762	252	-1	-1	1	-1	1
	190	68763	68968	-1	-1	-1	1	-1	1
	189	68969	70198	-1	-1	-1	1	-1	1
	188	70199	70292	256	-1	-1	1	-1	1
	187	70293	70682	283	-1	-1	1	-1	1
	186	70683	71239	269	-1	-1	1	-1	1
	185	71240	71507	230	-1	-1	1	-1	1
	184	71508	71891	240	-1	-1	1	-1	1
	183	71892	72459	256	-1	-1	1	-1	1
	182	72460	73022	374	-1	-1	1	-1	1
	181	73023	73205	266	-1	-1	1	-1	1
	180	73206	73383	230	-1	-1	1	-1	1
	179	73384	73659	270	-1	-1	1	-1	1
	178	73660	74075	276	-1	-1	1	-1	1
	177	74076	74544	253	-1	-1	1	-1	1
	176	74545	75243	266	-1	-1	1	-1	1
	175	75244	76391	320	-1	-1	1	-1	1
	174	76392	76972	258	-1	-1	1	-1	1
	173	76973	77062	240	-1	-1	1	-1	1
	172	77063	77762	373	-1	-1	1	-1	1
	171	77763	78321	254	-1	-1	1	-1	1
	170	78322	78518	-1	-1	-1	1	-1	1
	169	78519	79011	302	-1	-1	1	-1	1
	168	79012	79306	233	-1	-1	1	-1	1
	167	79307	79534	258	-1	-1	1	-1	1
	166	79535	79718	262	-1	-1	1	-1	1
	165	79719	79811	237	-1	-1	1	-1	1
	164	79812	80559	270	-1	-1	1	-1	1
	163	80560	80878	254	-1	-1	1	-1	1
	162	80879	81746	276	-1	-1	1	-1	1
	161	81747	81877	271	-1	-1	1	-1	1
	160	81878	81910	233	-1	-1	1	-1	1
	159	81911	82556	367	-1	-1	1	-1	1
	158	82557	83163	372	-1	-1	1	-1	1
	157	83164	83623	289	-1	-1	1	-1	1
	156	83624	84070	274	-1	-1	1	-1	1
	155	84071	84391	303	-1	-1	1	-1	1
	154	84392	85173	315	-1	-1	1	-1	1
	153	85174	85445	297	-1	-1	1	-1	1
	152	85446	86777	349	-1	-1	1	-1	1
	151	86778	86930	282	-1	-1	1	-1	1
	150	86931	87108	365	-1	-1	1	-1	1
	149	87109	87136	268	-1	-1	1	-1	1
	148	87137	87517	369	-1	-1	1	-1	1
	147	87518	87992	279	-1	-1	1	-1	1
	146	87993	88590	261	-1	-1	1	-1	1
	145	88591	89007	359	-1	-1	1	-1	1
	144	89008	89544	341	-1	-1	1	-1	1
	143	89545	89554	219	-1	-1	1	-1	1
	142	89555	89687	219	-1	-1	1	-1	1
	141	89688	89995	319	-1	-1	1	-1	1
	140	89996	90083	218	-1	-1	1	-1	1
	139	90084	90379	355	-1	-1	1	-1	1
	138	90380	90650	278	-1	-1	1	-1	1
	137	90651	90766	218	-1	-1	1	-1	1
	136	90767	91105	368	-1	-1	1	-1	1
	135	91106	91565	364	-1	-1	1	-1	1
	134	91566	91688	323	-1	-1	1	-1	1
	133	91689	92331	261	-1	-1	1	-1	1
	132	92332	92436	336	-1	-1	1	-1	1
	131	92437	92869	255	-1	-1	1	-1	1
	130	92870	93002	325	-1	-1	1	-1	1
	129	93003	93087	222	-1	-1	1	-1	1
	128	93088	93167	245	-1	-1	1	-1	1
	127	93168	93327	222	-1	-1	1	-1	1
	126	93328	94129	-1	-1	-1	1	-1	1
	125	94130	94693	255	-1	-1	1	-1	1
	124	94694	95088	352	-1	-1	1	-1	1
	123	95089	95348	344	-1	-1	1	-1	1
	122	95349	95421	361	-1	-1	1	-1	1
	121	95422	95875	342	-1	-1	1	-1	1
	120	95876	96025	348	-1	-1	1	-1	1
	119	96026	96596	316	-1	-1	1	-1	1
	118	96597	96782	296	-1	-1	1	-1	1
	117	96783	96986	224	-1	-1	1	-1	1
	116	96987	97308	332	-1	-1	1	-1	1
	115	97309	97502	224	-1	-1	1	-1	1
	114	97503	97581	235	-1	-1	1	-1	1
	113	97582	98074	360	-1	-1	1	-1	1
	112	98075	98390	235	-1	-1	1	-1	1
	111	98391	98628	356	-1	-1	1	-1	1
	110	98629	98927	-1	-1	-1	1	-1	1
	109	98928	98999	284	-1	-1	1	-1	1
	108	99000	99332	308	-1	-1	1	-1	1
	107	99333	99846	331	-1	-1	1	-1	1
	106	99847	100430	326	-1	-1	1	-1	1
	105	100431	100960	354	-1	-1	1	-1	1
	104	100961	101005	358	-1	-1	1	-1	1
	103	101006	101807	272	-1	-1	1	-1	1
	102	101808	102095	357	-1	-1	1	-1	1
	101	102096	102219	-1	-1	-1	1	-1	1
	100	102220	102740	280	-1	-1	1	-1	1
	99	102741	102793	290	-1	-1	1	-1	1
	98	102794	103503	351	-1	-1	1	-1	1
	97	103504	103650	220	-1	-1	1	-1	1
	96	103651	104488	329	-1	-1	1	-1	1
	95	104489	104876	291	-1	-1	1	-1	1
	94	104877	104989	220	-1	-1	1	-1	1
	93	104990	105973	280	-1	-1	1	-1	1
	92	105974	106123	272	-1	-1	1	-1	1
	91	106124	106314	350	-1	-1	1	-1	1
	90	106315	106730	250	-1	-1	1	-1	1
	89	106731	106996	328	-1	-1	1	-1	1
	88	106997	107493	250	-1	-1	1	-1	1
