time,prec
2019-02-22 10:30:00,0.0
2019-02-23 10:30:00,0.0
2019-02-24 10:30:00,0.0
2019-02-25 10:30:00,0.0108
2019-02-26 10:30:00,0.0
2019-02-27 10:30:00,0.0
2019-02-28 10:30:00,0.0
2019-03-01 10:30:00,0.0
2019-03-02 10:30:00,0.0
2019-03-03 10:30:00,0.0
2019-03-04 10:30:00,0.0
2019-03-05 10:30:00,0.0648
2019-03-06 10:30:00,0.0
2019-03-07 10:30:00,0.0
2019-03-08 10:30:00,0.0
2019-03-09 10:30:00,0.0
2019-03-10 10:30:00,0.0
2019-03-11 10:30:00,0.1512
2019-03-12 10:30:00,0.0324
2019-03-13 10:30:00,0.648
2019-03-14 10:30:00,0.9936
2019-03-15 10:30:00,0.87479997
2019-03-16 10:30:00,0.972
2019-03-17 10:30:00,0.0
2019-03-18 10:30:00,0.0
2019-03-19 10:30:00,0.486
2019-03-20 10:30:00,6.318
2019-03-21 10:30:00,0.19439998
2019-03-22 10:30:00,0.053999998
2019-03-23 10:30:00,0.0
2019-03-24 10:30:00,0.0216
2019-03-25 10:30:00,0.0
2019-03-26 10:30:00,0.53999996
2019-03-27 10:30:00,0.0
2019-03-28 10:30:00,0.0108
2019-03-29 10:30:00,1.7388
2019-03-30 10:30:00,0.0
2019-03-31 10:30:00,0.0108
2019-04-01 10:30:00,0.0
2019-04-02 10:30:00,0.0
2019-04-03 10:30:00,0.72360003
2019-04-04 10:30:00,1.5228
2019-04-05 10:30:00,0.0108
2019-04-06 10:30:00,0.0108
2019-04-07 10:30:00,1.5444
2019-04-08 10:30:00,0.0
2019-04-09 10:30:00,0.0
2019-04-10 10:30:00,0.0
2019-04-11 10:30:00,0.0
2019-04-12 10:30:00,0.0216
2019-04-13 10:30:00,0.0324
2019-04-14 10:30:00,0.42119998
2019-04-15 10:30:00,0.0
2019-04-16 10:30:00,0.14039999
2019-04-17 10:30:00,1.9116
2019-04-18 10:30:00,0.0
2019-04-19 10:30:00,0.0
2019-04-20 10:30:00,0.0
2019-04-21 10:30:00,0.0
2019-04-22 10:30:00,0.0216
2019-04-23 10:30:00,0.0
2019-04-24 10:30:00,0.0
2019-04-25 10:30:00,0.0
2019-04-26 10:30:00,0.0
2019-04-27 10:30:00,0.0
2019-04-28 10:30:00,0.0756
2019-04-29 10:30:00,0.10800001
2019-04-30 10:30:00,0.0864
2019-05-01 10:30:00,0.0
2019-05-02 10:30:00,0.0
2019-05-03 10:30:00,0.0
2019-05-04 10:30:00,6.8148003
2019-05-05 10:30:00,0.0108
2019-05-06 10:30:00,0.0
2019-05-07 10:30:00,0.0
2019-05-08 10:30:00,0.0
2019-05-09 10:30:00,0.0216
2019-05-10 10:30:00,0.26999998
2019-05-11 10:30:00,0.9612
2019-05-12 10:30:00,8.9424
2019-05-13 10:30:00,2.2032
2019-05-14 10:30:00,0.162
2019-05-15 10:30:00,5.3244004
2019-05-16 10:30:00,1.134
2019-05-17 10:30:00,0.0648
2019-05-18 10:30:00,0.6264
2019-05-19 10:30:00,14.7636
2019-05-20 10:30:00,0.43199998
2019-05-21 10:30:00,0.0
2019-05-22 10:30:00,0.0
2019-05-23 10:30:00,0.0
2019-05-24 10:30:00,0.0
2019-05-25 10:30:00,5.6052
2019-05-26 10:30:00,0.54
2019-05-27 10:30:00,0.0432
2019-05-28 10:30:00,0.0
2019-05-29 10:30:00,0.1512
2019-05-30 10:30:00,1.4363999
2019-05-31 10:30:00,2.916
2019-06-01 10:30:00,0.5076
2019-06-02 10:30:00,0.0
2019-06-03 10:30:00,0.1296
2019-06-04 10:30:00,7.776
2019-06-05 10:30:00,4.0176
2019-06-06 10:30:00,3.3048
2019-06-07 10:30:00,18.9864
2019-06-08 10:30:00,5.184
2019-06-09 10:30:00,3.3912
2019-06-10 10:30:00,3.0024002
2019-06-11 10:30:00,1.134
2019-06-12 10:30:00,4.9464
2019-06-13 10:30:00,0.0216
2019-06-14 10:30:00,0.324
2019-06-15 10:30:00,0.0
2019-06-16 10:30:00,0.0
2019-06-17 10:30:00,0.0
2019-06-18 10:30:00,0.38880002
2019-06-19 10:30:00,0.972
2019-06-20 10:30:00,1.3176
2019-06-21 10:30:00,0.0108
2019-06-22 10:30:00,0.0
2019-06-23 10:30:00,0.1512
2019-06-24 10:30:00,5.238
2019-06-25 10:30:00,21.2112
2019-06-26 10:30:00,29.0196
2019-06-27 10:30:00,11.955599
2019-06-28 10:30:00,13.878
2019-06-29 10:30:00,0.2268
2019-06-30 10:30:00,0.76680005
2019-07-01 10:30:00,9.0828
2019-07-02 10:30:00,1.6956
2019-07-03 10:30:00,0.0108
2019-07-04 10:30:00,4.4495997
2019-07-05 10:30:00,15.940801
2019-07-06 10:30:00,6.2316
2019-07-07 10:30:00,0.21599999
2019-07-08 10:30:00,0.0
2019-07-09 10:30:00,8.1864
2019-07-10 10:30:00,3.4236
2019-07-11 10:30:00,7.4196
2019-07-12 10:30:00,3.8339999
2019-07-13 10:30:00,6.318
2019-07-14 10:30:00,12.2796
2019-07-15 10:30:00,2.2356
2019-07-16 10:30:00,1.3608
2019-07-17 10:30:00,0.0
2019-07-18 10:30:00,1.0691999
2019-07-19 10:30:00,8.391601
2019-07-20 10:30:00,17.938799
2019-07-21 10:30:00,2.916
2019-07-22 10:30:00,0.1188
2019-07-23 10:30:00,4.2984
2019-07-24 10:30:00,6.8795996
2019-07-25 10:30:00,0.0324
2019-07-26 10:30:00,6.8904004
2019-07-27 10:30:00,26.2872
2019-07-28 10:30:00,2.5704
2019-07-29 10:30:00,5.9184
2019-07-30 10:30:00,20.7036
2019-07-31 10:30:00,1.0367999
2019-08-01 10:30:00,0.21599999
2019-08-02 10:30:00,0.0864
2019-08-03 10:30:00,0.21599999
2019-08-04 10:30:00,0.0756
2019-08-05 10:30:00,18.716398
2019-08-06 10:30:00,21.675598
2019-08-07 10:30:00,12.9816
2019-08-08 10:30:00,2.9808002
2019-08-09 10:30:00,6.4584002
2019-08-10 10:30:00,5.832
2019-08-11 10:30:00,4.6872
2019-08-12 10:30:00,2.0844
2019-08-13 10:30:00,0.107999995
2019-08-14 10:30:00,0.0
2019-08-15 10:30:00,27.864
2019-08-16 10:30:00,11.8908
2019-08-17 10:30:00,3.8988001
2019-08-18 10:30:00,9.99
2019-08-19 10:30:00,5.3244004
2019-08-20 10:30:00,34.0524
2019-08-21 10:30:00,9.8712
2019-08-22 10:30:00,4.6331997
2019-08-23 10:30:00,7.1387997
2019-08-24 10:30:00,7.452
2019-08-25 10:30:00,39.744
2019-08-26 10:30:00,21.1896
2019-08-27 10:30:00,2.106
2019-08-28 10:30:00,2.7216
2019-08-29 10:30:00,8.7588005
2019-08-30 10:30:00,0.3564
2019-08-31 10:30:00,0.3348
2019-09-01 10:30:00,0.42119998
2019-09-02 10:30:00,0.064799994
2019-09-03 10:30:00,0.0
2019-09-04 10:30:00,0.0324
2019-09-05 10:30:00,0.6588
